"상권별(1)",상권별(2),상권별(3),2025.3/4,2025.4/4
"인천",인천서구청,소계,6.6,6.6
"인천",주안,소계,11.5,11.5
"광주",소계,소계,9.4,9.2
"광주",금남로/충장로,소계,15.0,13.8
"광주",금호지구,소계,0.0,0.0
"광주",봉선동,소계,0.0,5.6
"광주",상무지구,소계,6.9,0.0
"광주",송정동지구,소계,6.3,6.3
"광주",양산지구,소계,5.6,5.6
"광주",용봉동,소계,6.2,3.5
"광주",월산동지구,소계,12.8,9.1
"광주",전남대,소계,27.4,34.4
"광주",첨단1지구,소계,8.4,8.4
"대전",소계,소계,9.8,8.2
"대전",노은,소계,0.0,0.0
"대전",대전원도심,소계,10.5,8.1
"대전",복합터미널,소계,14.5,14.5
"대전",서대전네거리,소계,6.5,6.5
"대전",용문/한민시장,소계,15.2,16.4
"대전",유성온천역,소계,4.8,4.8
"울산",소계,소계,6.2,5.8
"울산",삼산동,소계,4.5,4.2
"울산",성남옥교동,소계,5.3,3.0
"울산",신정동,소계,2.8,2.8
"울산",울산농소,소계,20.7,20.1
"울산",울산대,소계,23.8,23.8
"울산",전하동,소계,10.6,10.6
"세종",소계,소계,5.7,5.7
"세종",조치원,소계,6.7,6.7
"경기",소계,소계,6.9,7.3
"경기",고양시청,소계,0.0,0.0
"경기",광명철산,소계,3.6,3.6
"경기",광주시가지,소계,2.0,3.8
"경기",구리역,소계,0.0,0.0
"경기",기흥역,소계,3.2,3.2
"경기",김량장동,소계,1.5,7.3
"경기",동두천중앙로,소계,11.9,18.2
"경기",모란,소계,0.0,0.0
"경기",병점역,소계,0.0,0.0
"경기",부천역,소계,3.6,4.2
"경기",성남구시가지,소계,13.7,13.5
"경기",수원역,소계,2.2,2.2
"경기",수원파장동,소계,9.7,9.7
"경기",신장/지산/서정,소계,6.6,6.6
"경기",신천역,소계,17.4,17.6
"경기",안성 서인사거리,소계,18.2,19.8
"경기",안양역,소계,7.2,7.3
"경기",양주덕정역,소계,23.3,17.8
"경기",여주시청,소계,9.7,14.6
"경기",오산시청,소계,4.2,4.2
"경기",용인수지,소계,3.7,3.7
"경기",의정부역,소계,13.2,15.1
"경기",이천종합터미널,소계,0.0,0.0
"경기",인계동,소계,2.2,0.0
"경기",인덕원,소계,9.7,16.2
"경기",탄현역,소계,0.0,0.0
"경기",파주시청,소계,19.3,10.9
"경기",팔달문로터리,소계,14.5,14.5
"경기",평택역,소계,7.9,9.0
"경기",포천소흘읍,소계,8.1,9.5
"경기",포천시외버스터미널,소계,19.2,19.2
"경기",하남원도심,소계,1.3,1.3
"경기",화성남양읍,소계,0.0,0.0
"경기",화성봉담읍,소계,1.4,1.4
"강원",소계,소계,6.5,7.8
"강원",강릉교동,소계,8.3,8.3
"강원",강릉중부,소계,10.3,10.3
"강원",묵호항,소계,5.9,5.9
"강원",삼척중앙시장,소계,2.4,2.4
"강원",속초중앙시장,소계,13.1,13.1
"강원",영월경찰서,소계,0.0,0.0
"강원",원주중앙/일산,소계,6.8,6.1
"강원",주문진항,소계,9.9,9.9
"강원",춘천명동,소계,8.9,16.9
"강원",태백중앙시장,소계,4.7,4.7
"충북",소계,소계,8.9,9.5
"충북",봉명사거리,소계,5.3,5.3
"충북",제천역,소계,4.2,4.2
"충북",제천중앙,소계,18.0,18.0
"충북",증평광장로,소계,19.5,23.8
"충북",청주성안길,소계,9.9,10.1
"충북",충북대학교,소계,12.6,12.6
"충북",충주연수칠금,소계,5.8,7.3
"충북",충주자유시장,소계,16.8,16.8
"충남",소계,소계,7.2,6.7
"충남",공주대,소계,8.6,8.6
"충남",공주웅진동,소계,5.0,5.0
"충남",논산시외버스터미널,소계,6.1,6.1
"충남",당진시청,소계,9.7,6.5
"충남",두정,소계,0.0,0.0
"충남",배방읍,소계,13.0,9.9
"충남",보령문화의전당,소계,10.6,9.9
"충남",서산터미널,소계,9.1,9.1
"충남",아산온양,소계,6.7,5.0
"충남",예산시장,소계,16.0,16.0
"충남",천안역,소계,7.4,7.4
"충남",천안종합버스터미널,소계,0.0,7.1
"충남",태안터미널,소계,10.3,10.3
"충남",합덕버스터미널,소계,2.8,2.8
"전북",소계,소계,8.1,8.5
"전북",군산수송동조촌동,소계,1.5,1.5
"전북",군산원도심,소계,12.9,12.9
"전북",김제시장,소계,6.5,6.5
"전북",남원광한루,소계,6.4,6.7
"전북",송천동,소계,14.7,14.7
"전북",영등부송,소계,0.0,0.0
"전북",익산역,소계,11.4,11.4
"전북",전주동부,소계,3.0,7.7
"전북",전주서부,소계,0.0,0.0
"전북",전주한옥마을,소계,0.0,0.0
"전북",정읍중심,소계,16.3,16.8
"전남",소계,소계,10.0,11.1
"전남",광양읍,소계,12.9,9.4
"전남",광양중동,소계,0.0,0.0
"전남",나주구시가지,소계,0.6,0.6
"전남",목포구도심,소계,12.5,13.9
"전남",무선지구,소계,0.0,0.0
"전남",순천법원,소계,0.0,13.7
"전남",순천원도심,소계,15.1,11.3
"전남",여수여문,소계,3.5,3.5
"전남",여수원도심,소계,35.1,35.1
"전남",여수학동,소계,2.0,2.0
"전남",조례,소계,13.7,7.7
"전남",하당신도심,소계,14.0,31.0
"경북",소계,소계,9.6,9.8
"경북",가흥택지개발지구,소계,6.3,6.3
"경북",경산시청,소계,0.0,8.0
"경북",경주도심,소계,24.4,21.5
"경북",구미산업단지,소계,15.9,19.1
"경북",구미선주원남동,소계,4.0,0.9
"경북",구미역,소계,11.9,8.1
"경북",문경점촌흥덕,소계,18.2,18.2
"경북",상주동문동,소계,28.0,28.0
"경북",안동구도심,소계,6.4,6.9
"경북",양덕동,소계,16.1,16.1
"경북",영일대해수욕장,소계,0.0,0.0
"경북",영주중앙,소계,16.1,23.5
"경북",옥동사거리,소계,0.0,0.0
"경북",포항원도심,소계,1.9,1.9
"경북",포항중앙,소계,18.8,17.6
"경북",포항효자동,소계,0.0,0.0
"경북",황리단길,소계,0.0,0.0
"경남",소계,소계,9.6,8.8
"경남",거제고현,소계,16.3,15.5
"경남",거제옥포,소계,15.6,16.9
"경남",김해시청/동상시장,소계,12.5,10.6
"경남",마산동서동,소계,3.1,3.1
"경남",마산역버스터미널,소계,0.0,5.0
"경남",밀양원도심/삼문동,소계,13.6,19.2
"경남",양산구도심,소계,7.2,9.0
"경남",용원동,소계,12.3,3.1
"경남",진주중앙시장,소계,19.1,19.1
"경남",진주하대동,소계,0.0,0.0
"경남",진해석동,소계,0.0,10.7
"경남",창원시청,소계,0.0,0.0
"경남",창원역,소계,0.0,0.0
"경남",창원월영동,소계,12.5,12.5
"경남",창원의창구청,소계,9.4,5.9
"경남",통영 강구안,소계,3.5,5.4
"경남",통영시청,소계,0.0,0.0
"경남",평거동,소계,0.0,0.0
"경남",활천동,소계,10.8,1.8
"제주",소계,소계,2.7,3.2
"제주",광양사거리,소계,2.4,2.4
"제주",노형오거리,소계,0.0,0.0
"제주",서귀포도심,소계,5.2,5.2
"제주",중앙사거리,소계,4.8,7.4
